"literal","code","standard","contributor","broader_code","broader_term","uri","broader_uri"
"astrologen","300236024","astrologen","AAT Getty NL","300239172","<personen in de occulte wetenschappen>","http://vocab.getty.edu/aat/300236024","http://vocab.getty.edu/aat/300239172"
"zakenvrouwen","300236593","zakenvrouwen","AAT Getty NL","300239179","zakenmensen","http://vocab.getty.edu/aat/300236593","http://vocab.getty.edu/aat/300239179"
"beulen","300230894","beulen","AAT Getty NL","300239192","<overheidsfunctionarissen naar activiteit>","http://vocab.getty.edu/aat/300230894","http://vocab.getty.edu/aat/300239192"
"organisten","300235015","organisten","AAT Getty NL","300234981","instrumentalisten: toetseninstrumenten","http://vocab.getty.edu/aat/300235015","http://vocab.getty.edu/aat/300234981"
"bassisten","300235037","bassisten","AAT Getty NL","300234983","instrumentalisten: snaarinstrumenten","http://vocab.getty.edu/aat/300235037","http://vocab.getty.edu/aat/300234983"
"hoornblazers","300235048","hoornblazers","AAT Getty NL","300234984","instrumentalisten: blaasinstrumenten","http://vocab.getty.edu/aat/300235048","http://vocab.getty.edu/aat/300234984"
"militaire offcieren","300236171","kapiteins (militaire officieren)","AAT Getty NL","300236210","officieren","http://vocab.getty.edu/aat/300236171","http://vocab.getty.edu/aat/300236210"
"kapiteins","300236171","kapiteins (militaire officieren)","AAT Getty NL","300236210","officieren","http://vocab.getty.edu/aat/300236171","http://vocab.getty.edu/aat/300236210"
"kamerheren","300236290","kamerheren","AAT Getty NL","300236284","rentmeesters","http://vocab.getty.edu/aat/300236290","http://vocab.getty.edu/aat/300236284"
"boeren","300025607","boeren","AAT Getty NL","300230848","<personen in de landbouw>","http://vocab.getty.edu/aat/300025607","http://vocab.getty.edu/aat/300230848"
"filmproducenten","300312211","filmproducenten","AAT Getty NL","300197742","producers","http://vocab.getty.edu/aat/300312211","http://vocab.getty.edu/aat/300197742"
"ervads","300264501","ervads","AAT Getty NL","300188718","magiërs","http://vocab.getty.edu/aat/300264501","http://vocab.getty.edu/aat/300188718"
"grootmeesters","300236782","grootmeesters","AAT Getty NL","300189710","functionarissen","http://vocab.getty.edu/aat/300236782","http://vocab.getty.edu/aat/300189710"
"filologen","300025568","filologen","AAT Getty NL","300171572","<personen in beroepen met betrekking tot taalkunde>","http://vocab.getty.edu/aat/300025568","http://vocab.getty.edu/aat/300171572"
"bibliografen","300025552","bibliografen","AAT Getty NL","300171575","<personen in beroepen met betrekking tot literatuur>","http://vocab.getty.edu/aat/300025552","http://vocab.getty.edu/aat/300171575"
