"literal","code","standard","contributor","broader_code","broader_term","uri","broader_uri"
"harpisten","300235057","harpisten","AAT Getty NL","300234983","instrumentalisten: snaarinstrumenten","http://vocab.getty.edu/aat/300235057","http://vocab.getty.edu/aat/300234983"
"hoboïsten","300235062","hoboïsten","AAT Getty NL","300234984","instrumentalisten: blaasinstrumenten","http://vocab.getty.edu/aat/300235062","http://vocab.getty.edu/aat/300234984"
"kapiteins-luitenant-ter-zee","300236472","kapiteins-luitenant-ter-zee","AAT Getty NL","300236210","officieren","http://vocab.getty.edu/aat/300236472","http://vocab.getty.edu/aat/300236210"
"koningen","300025481","koningen (personen)","AAT Getty NL","300237007","monarchen","http://vocab.getty.edu/aat/300025481","http://vocab.getty.edu/aat/300237007"
"veiligheidsagenten","300025871","veiligheidsagenten","AAT Getty NL","300239083","<personen in beveiligings- en beschermingsberoepen>","http://vocab.getty.edu/aat/300025871","http://vocab.getty.edu/aat/300239083"
"navigators","300236294","navigators","AAT Getty NL","300239090","<personen in vervoersberoepen>","http://vocab.getty.edu/aat/300236294","http://vocab.getty.edu/aat/300239090"
"biechtvaders","300025775","biechtvaders","AAT Getty NL","300239152","christelijke geestelijken","http://vocab.getty.edu/aat/300025775","http://vocab.getty.edu/aat/300239152"
"heksen","300252827","heksen","AAT Getty NL","300239172","<personen in de occulte wetenschappen>","http://vocab.getty.edu/aat/300252827","http://vocab.getty.edu/aat/300239172"
"zakenmensen","300260356","maten (zakenmensen)","AAT Getty NL","300239179","zakenmensen","http://vocab.getty.edu/aat/300260356","http://vocab.getty.edu/aat/300239179"
"maten","300260356","maten (zakenmensen)","AAT Getty NL","300239179","zakenmensen","http://vocab.getty.edu/aat/300260356","http://vocab.getty.edu/aat/300239179"
"landsknechten","300404865","landsknechten","AAT Getty NL","300185678","soldaten","http://vocab.getty.edu/aat/300404865","http://vocab.getty.edu/aat/300185678"
"overheidsfunctionarissen","300025457","overheidsfunctionarissen","AAT Getty NL","300189710","functionarissen","http://vocab.getty.edu/aat/300025457","http://vocab.getty.edu/aat/300189710"
"quiltsters","300025359","quiltsters","AAT Getty NL","300168309","<textielwerkers naar product>","http://vocab.getty.edu/aat/300025359","http://vocab.getty.edu/aat/300168309"
"technisch tekenaars","300025059","technisch tekenaars","AAT Getty NL","300168334","<personen in de bouwtechniek, bouwhandel en planning>","http://vocab.getty.edu/aat/300025059","http://vocab.getty.edu/aat/300168334"
"godsdiensthistorici","300025547","godsdiensthistorici","AAT Getty NL","300168335","personen in beroepen met betrekking tot religie","http://vocab.getty.edu/aat/300025547","http://vocab.getty.edu/aat/300168335"
"informatiewetenschappers","300025550","informatiewetenschappers","AAT Getty NL","300168393","<personen in beroepen met betrekking tot sociale wetenschappen>","http://vocab.getty.edu/aat/300025550","http://vocab.getty.edu/aat/300168393"
"godheden","300343850","godheden","AAT Getty NL","300168457","personen in de religie","http://vocab.getty.edu/aat/300343850","http://vocab.getty.edu/aat/300168457"
"redacteuren","300025526","redacteuren","AAT Getty NL","300171575","<personen in beroepen met betrekking tot literatuur>","http://vocab.getty.edu/aat/300025526","http://vocab.getty.edu/aat/300171575"
"economen","300025591","economen","AAT Getty NL","300171580","sociale wetenschappers","http://vocab.getty.edu/aat/300025591","http://vocab.getty.edu/aat/300171580"
"schoonmakers","300102641","schoonmakers","AAT Getty NL","300174088","<personen in dienstverlenende beroepen>","http://vocab.getty.edu/aat/300102641","http://vocab.getty.edu/aat/300174088"
"genezers","300259528","genezers","AAT Getty NL","300155832","<personen in de gezondheidszorg en geneeskunde>","http://vocab.getty.edu/aat/300259528","http://vocab.getty.edu/aat/300155832"
"uitgevers","300025574","uitgevers","AAT Getty NL","300103043","personen in communicatieberoepen","http://vocab.getty.edu/aat/300025574","http://vocab.getty.edu/aat/300103043"
"dansers","300025653","dansers","AAT Getty NL","300068931","uitvoerend kunstenaars","http://vocab.getty.edu/aat/300025653","http://vocab.getty.edu/aat/300068931"
"fysiologen","300025817","fysiologen","AAT Getty NL","300025790","biologen","http://vocab.getty.edu/aat/300025817","http://vocab.getty.edu/aat/300025790"
"optici","300264494","optici","AAT Getty NL","300025816","natuurkundigen","http://vocab.getty.edu/aat/300264494","http://vocab.getty.edu/aat/300025816"
"ongeschoolde arbeiders","300025894","ongeschoolde arbeiders","AAT Getty NL","300025886","arbeiders","http://vocab.getty.edu/aat/300025894","http://vocab.getty.edu/aat/300025886"
"uitvoerend architecten","300263065","uitvoerend architecten","AAT Getty NL","300024987","architecten","http://vocab.getty.edu/aat/300263065","http://vocab.getty.edu/aat/300024987"
"glasschilders","300263758","glasschilders","AAT Getty NL","300025143","<schilders naar techniek, instrument of gebruikt materiaal>","http://vocab.getty.edu/aat/300263758","http://vocab.getty.edu/aat/300025143"
"lithografen","300025175","lithografen","AAT Getty NL","300025164","prentkunstenaars","http://vocab.getty.edu/aat/300025175","http://vocab.getty.edu/aat/300025164"
"stippelgraveurs","300025166","stippelgraveurs","AAT Getty NL","300025165","graveurs (prentkunstenaars)","http://vocab.getty.edu/aat/300025166","http://vocab.getty.edu/aat/300025165"
"bloemschikkers","300025201","bloemschikkers","AAT Getty NL","300025190","ontwerpers","http://vocab.getty.edu/aat/300025201","http://vocab.getty.edu/aat/300025190"
"veilingmeesters","300025208","veilingmeesters","AAT Getty NL","300025207","<personen in de handel en zakenwereld>","http://vocab.getty.edu/aat/300025208","http://vocab.getty.edu/aat/300025207"
"reisagenten","300025221","reisagenten","AAT Getty NL","300025213","zaakwaarnemers","http://vocab.getty.edu/aat/300025221","http://vocab.getty.edu/aat/300025213"
"detailhandelaars","300025246","detailhandelaars","AAT Getty NL","300025245","kooplieden","http://vocab.getty.edu/aat/300025246","http://vocab.getty.edu/aat/300025245"
"metaalwerkers","300025303","gieters (metaalwerkers)","AAT Getty NL","300025254","<personen in ambachten en beroepen naar activiteit>","http://vocab.getty.edu/aat/300025303","http://vocab.getty.edu/aat/300025254"
"gieters","300025303","gieters (metaalwerkers)","AAT Getty NL","300025254","<personen in ambachten en beroepen naar activiteit>","http://vocab.getty.edu/aat/300025303","http://vocab.getty.edu/aat/300025254"
"repareurs","300261984","repareurs","AAT Getty NL","300025256","beeldsnijders","http://vocab.getty.edu/aat/300261984","http://vocab.getty.edu/aat/300025256"
"glazenmakers","300025286","glazenmakers","AAT Getty NL","300025283","glaswerkers","http://vocab.getty.edu/aat/300025286","http://vocab.getty.edu/aat/300025283"
"leerlooiers","300025296","leerlooiers","AAT Getty NL","300025288","leerbewerkers","http://vocab.getty.edu/aat/300025296","http://vocab.getty.edu/aat/300025288"
"platteerders","300238344","platteerders","AAT Getty NL","300025300","<metaalwerkers naar proces of techniek>","http://vocab.getty.edu/aat/300238344","http://vocab.getty.edu/aat/300025300"
"kernmakers","300025334","kernmakers","AAT Getty NL","300025326","<metaalwerkers naar product>","http://vocab.getty.edu/aat/300025334","http://vocab.getty.edu/aat/300025326"
"stoffeerders","300025407","stoffeerders","AAT Getty NL","300025401","meubelmakers","http://vocab.getty.edu/aat/300025407","http://vocab.getty.edu/aat/300025401"
"hovelingen","300025449","hovelingen","AAT Getty NL","300025426","<personen in regering en bestuur>","http://vocab.getty.edu/aat/300025449","http://vocab.getty.edu/aat/300025426"
"overheidsambtenaren","300025444","overheidsambtenaren","AAT Getty NL","300025427","bestuurders","http://vocab.getty.edu/aat/300025444","http://vocab.getty.edu/aat/300025427"
"vicepresidenten","300122959","vicepresidenten","AAT Getty NL","300025432","leidinggevenden","http://vocab.getty.edu/aat/300122959","http://vocab.getty.edu/aat/300025432"
"intendanten","300250835","intendanten","AAT Getty NL","300025457","overheidsfunctionarissen","http://vocab.getty.edu/aat/300250835","http://vocab.getty.edu/aat/300025457"
"dictators","300236596","dictators","AAT Getty NL","300025475","heersers","http://vocab.getty.edu/aat/300236596","http://vocab.getty.edu/aat/300025475"
"filosofen","300025569","filosofen","AAT Getty NL","300025485","<personen in de humaniora>","http://vocab.getty.edu/aat/300025569","http://vocab.getty.edu/aat/300025485"
"psychohistorici","300252313","psychohistorici","AAT Getty NL","300025539","historici","http://vocab.getty.edu/aat/300252313","http://vocab.getty.edu/aat/300025539"
"fonologen","300252088","fonologen","AAT Getty NL","300025561","linguisten","http://vocab.getty.edu/aat/300252088","http://vocab.getty.edu/aat/300025561"
"metafysici","300025572","metafysici","AAT Getty NL","300025569","filosofen","http://vocab.getty.edu/aat/300025572","http://vocab.getty.edu/aat/300025569"
"kantonrechters","300122956","kantonrechters","AAT Getty NL","300025622","personen in de rechten","http://vocab.getty.edu/aat/300122956","http://vocab.getty.edu/aat/300025622"
"museologen","300237080","museologen","AAT Getty NL","300025631","<personen in de museologie>","http://vocab.getty.edu/aat/300237080","http://vocab.getty.edu/aat/300025631"
"regisseurs","300025654","regisseurs","AAT Getty NL","300025645","<personen in de uitvoerende kunsten>","http://vocab.getty.edu/aat/300025654","http://vocab.getty.edu/aat/300025645"
"instrumentalisten","300162131","instrumentalisten","AAT Getty NL","300025666","musici","http://vocab.getty.edu/aat/300162131","http://vocab.getty.edu/aat/300025666"
"opmakers","300025712","opmakers","AAT Getty NL","300025701","<personen in de grafische industrie>","http://vocab.getty.edu/aat/300025712","http://vocab.getty.edu/aat/300025701"
"naturalisten","300112034","naturalisten","AAT Getty NL","300025785","<wetenschappers en personen in aanverwante beroepen>","http://vocab.getty.edu/aat/300112034","http://vocab.getty.edu/aat/300025785"
"trigonometristen","300264412","trigonometristen","AAT Getty NL","300025786","wiskundigen","http://vocab.getty.edu/aat/300264412","http://vocab.getty.edu/aat/300025786"
"milieu- en natuurbeschermingswetenschappers","300025820","milieu- en natuurbeschermingswetenschappers","AAT Getty NL","300025788","wetenschappers","http://vocab.getty.edu/aat/300025820","http://vocab.getty.edu/aat/300025788"
"matte artists","300310082","matte artists","AAT Getty NL","300260891","<schilders naar locatie of context>","http://vocab.getty.edu/aat/300310082","http://vocab.getty.edu/aat/300260891"
"luitspelers","300235043","luitspelers","AAT Getty NL","300234983","instrumentalisten: snaarinstrumenten","http://vocab.getty.edu/aat/300235043","http://vocab.getty.edu/aat/300234983"
"trompettisten","300235064","trompettisten","AAT Getty NL","300234984","instrumentalisten: blaasinstrumenten","http://vocab.getty.edu/aat/300235064","http://vocab.getty.edu/aat/300234984"
"bevelvoerende officieren","300236474","bevelvoerende officieren","AAT Getty NL","300236210","officieren","http://vocab.getty.edu/aat/300236474","http://vocab.getty.edu/aat/300236210"
"farao's","300150507","farao's","AAT Getty NL","300237007","monarchen","http://vocab.getty.edu/aat/300150507","http://vocab.getty.edu/aat/300237007"
"bewakers","300025876","bewakers","AAT Getty NL","300239083","<personen in beveiligings- en beschermingsberoepen>","http://vocab.getty.edu/aat/300025876","http://vocab.getty.edu/aat/300239083"
"piloten","300236293","piloten","AAT Getty NL","300239090","<personen in vervoersberoepen>","http://vocab.getty.edu/aat/300236293","http://vocab.getty.edu/aat/300239090"
"hulppriesters","300264485","hulppriesters","AAT Getty NL","300239152","christelijke geestelijken","http://vocab.getty.edu/aat/300264485","http://vocab.getty.edu/aat/300239152"
"mariniers","300250748","mariniers","AAT Getty NL","300185678","soldaten","http://vocab.getty.edu/aat/300250748","http://vocab.getty.edu/aat/300185678"
"hoogwaardigheidsbekleders","300264263","viziers (hoogwaardigheidsbekleders)","AAT Getty NL","300189710","functionarissen","http://vocab.getty.edu/aat/300264263","http://vocab.getty.edu/aat/300189710"
"viziers","300264263","viziers (hoogwaardigheidsbekleders)","AAT Getty NL","300189710","functionarissen","http://vocab.getty.edu/aat/300264263","http://vocab.getty.edu/aat/300189710"
"brouwers","300236161","brouwers","AAT Getty NL","300168308","<personen in ambachten en beroepen naar product>","http://vocab.getty.edu/aat/300236161","http://vocab.getty.edu/aat/300168308"
"lintenmakers","300263265","lintenmakers","AAT Getty NL","300168309","<textielwerkers naar product>","http://vocab.getty.edu/aat/300263265","http://vocab.getty.edu/aat/300168309"
"ingenieurs","300025063","ingenieurs","AAT Getty NL","300168334","<personen in de bouwtechniek, bouwhandel en planning>","http://vocab.getty.edu/aat/300025063","http://vocab.getty.edu/aat/300168334"
"numismatici","300025565","numismatici","AAT Getty NL","300168378","<personen in beroepen met betrekking tot geschiedenis>","http://vocab.getty.edu/aat/300025565","http://vocab.getty.edu/aat/300168378"
"derwisjen","300025778","derwisjen","AAT Getty NL","300168457","personen in de religie","http://vocab.getty.edu/aat/300025778","http://vocab.getty.edu/aat/300168457"
"geografen","300025592","geografen","AAT Getty NL","300171580","sociale wetenschappers","http://vocab.getty.edu/aat/300025592","http://vocab.getty.edu/aat/300171580"
"custodes","300160390","custodes (personen)","AAT Getty NL","300174088","<personen in dienstverlenende beroepen>","http://vocab.getty.edu/aat/300160390","http://vocab.getty.edu/aat/300174088"
"hygiënisten","300236866","hygiënisten","AAT Getty NL","300155832","<personen in de gezondheidszorg en geneeskunde>","http://vocab.getty.edu/aat/300236866","http://vocab.getty.edu/aat/300155832"
"vertalers","300025601","vertalers","AAT Getty NL","300103043","personen in communicatieberoepen","http://vocab.getty.edu/aat/300025601","http://vocab.getty.edu/aat/300103043"
"vergulders","300025261","vergulders","AAT Getty NL","300025281","<personen in ambachten en beroepen naar materiaal>","http://vocab.getty.edu/aat/300025261","http://vocab.getty.edu/aat/300025281"
"ertssmelters","300025308","ertssmelters","AAT Getty NL","300025300","<metaalwerkers naar proces of techniek>","http://vocab.getty.edu/aat/300025308","http://vocab.getty.edu/aat/300025300"
"gedelegeerden","300252566","gedelegeerden","AAT Getty NL","300025426","<personen in regering en bestuur>","http://vocab.getty.edu/aat/300252566","http://vocab.getty.edu/aat/300025426"
"beheerders","300025881","beheerders","AAT Getty NL","300025427","bestuurders","http://vocab.getty.edu/aat/300025881","http://vocab.getty.edu/aat/300025427"
"luitenant-gouverneurs","300136442","luitenant-gouverneurs","AAT Getty NL","300025457","overheidsfunctionarissen","http://vocab.getty.edu/aat/300136442","http://vocab.getty.edu/aat/300025457"
"dagboekschrijvers","300025497","dagboekschrijvers","AAT Getty NL","300025492","auteurs","http://vocab.getty.edu/aat/300025497","http://vocab.getty.edu/aat/300025492"
"stadshistorici","300138709","stadshistorici","AAT Getty NL","300025539","historici","http://vocab.getty.edu/aat/300138709","http://vocab.getty.edu/aat/300025539"
"taalpsychologen","300252306","taalpsychologen","AAT Getty NL","300025561","linguisten","http://vocab.getty.edu/aat/300252306","http://vocab.getty.edu/aat/300025561"
"patafysici","300404623","patafysici","AAT Getty NL","300025569","filosofen","http://vocab.getty.edu/aat/300404623","http://vocab.getty.edu/aat/300025569"
"bosbouwers","300025611","bosbouwers","AAT Getty NL","300025603","<personen in de landbouw en natuurlijke hulpbronnen>","http://vocab.getty.edu/aat/300025611","http://vocab.getty.edu/aat/300025603"
"advocaten","300025627","advocaten","AAT Getty NL","300025622","personen in de rechten","http://vocab.getty.edu/aat/300025627","http://vocab.getty.edu/aat/300025622"
"preparateurs","300025643","preparateurs","AAT Getty NL","300025631","<personen in de museologie>","http://vocab.getty.edu/aat/300025643","http://vocab.getty.edu/aat/300025631"
"diskjockeys","300265803","diskjockeys","AAT Getty NL","300025645","<personen in de uitvoerende kunsten>","http://vocab.getty.edu/aat/300265803","http://vocab.getty.edu/aat/300025645"
"zangers","300025684","zangers","AAT Getty NL","300025666","musici","http://vocab.getty.edu/aat/300025684","http://vocab.getty.edu/aat/300025666"
"holografen","300256169","holografen (personen)","AAT Getty NL","300025687","fotografen","http://vocab.getty.edu/aat/300256169","http://vocab.getty.edu/aat/300025687"
"negatiefafdekkers","300025714","negatiefafdekkers","AAT Getty NL","300025701","<personen in de grafische industrie>","http://vocab.getty.edu/aat/300025714","http://vocab.getty.edu/aat/300025701"
"priesteressen","300343853","priesteressen","AAT Getty NL","300025747","geestelijken","http://vocab.getty.edu/aat/300343853","http://vocab.getty.edu/aat/300025747"
"kosmografen","300236518","kosmografen","AAT Getty NL","300025788","wetenschappers","http://vocab.getty.edu/aat/300236518","http://vocab.getty.edu/aat/300025788"
"zoölogen","300025792","zoölogen","AAT Getty NL","300025790","biologen","http://vocab.getty.edu/aat/300025792","http://vocab.getty.edu/aat/300025790"
"deeltjesfysici","300251810","deeltjesfysici","AAT Getty NL","300025816","natuurkundigen","http://vocab.getty.edu/aat/300251810","http://vocab.getty.edu/aat/300025816"
"hoofdarbeiders","300025895","hoofdarbeiders","AAT Getty NL","300025886","arbeiders","http://vocab.getty.edu/aat/300025895","http://vocab.getty.edu/aat/300025886"
"architecten in overheidsdienst","300024989","architecten in overheidsdienst","AAT Getty NL","300024987","architecten","http://vocab.getty.edu/aat/300024989","http://vocab.getty.edu/aat/300024987"
"timmerlieden","300025008","timmerlieden","AAT Getty NL","300025001","bouwvakkers","http://vocab.getty.edu/aat/300025008","http://vocab.getty.edu/aat/300025001"
"grainers","300025146","grainers","AAT Getty NL","300025143","<schilders naar techniek, instrument of gebruikt materiaal>","http://vocab.getty.edu/aat/300025146","http://vocab.getty.edu/aat/300025143"
"photoengravers","300025715","photoengravers","AAT Getty NL","300025164","prentkunstenaars","http://vocab.getty.edu/aat/300025715","http://vocab.getty.edu/aat/300025164"
"wasboetseerders","300378951","wasboetseerders","AAT Getty NL","300025181","beeldhouwers","http://vocab.getty.edu/aat/300378951","http://vocab.getty.edu/aat/300025181"
"bankiers","300025209","bankiers","AAT Getty NL","300025207","<personen in de handel en zakenwereld>","http://vocab.getty.edu/aat/300025209","http://vocab.getty.edu/aat/300025207"
"handelaars in kantoorbenodigdheden","300312195","handelaars in kantoorbenodigdheden","AAT Getty NL","300025245","kooplieden","http://vocab.getty.edu/aat/300312195","http://vocab.getty.edu/aat/300025245"
"metaalgieters","300025260","metaalgieters","AAT Getty NL","300025254","<personen in ambachten en beroepen naar activiteit>","http://vocab.getty.edu/aat/300025260","http://vocab.getty.edu/aat/300025254"
"opzichters","300025441","opzichters","AAT Getty NL","300025001","bouwvakkers","http://vocab.getty.edu/aat/300025441","http://vocab.getty.edu/aat/300025001"
"elektrotechnische ingenieurs","300025079","elektrotechnische ingenieurs","AAT Getty NL","300025063","ingenieurs","http://vocab.getty.edu/aat/300025079","http://vocab.getty.edu/aat/300025063"
"photogravurists","300252901","photogravurists","AAT Getty NL","300025164","prentkunstenaars","http://vocab.getty.edu/aat/300252901","http://vocab.getty.edu/aat/300025164"
"bieders","300024999","bieders","AAT Getty NL","300025207","<personen in de handel en zakenwereld>","http://vocab.getty.edu/aat/300024999","http://vocab.getty.edu/aat/300025207"
"marketenters","300312226","marketenters","AAT Getty NL","300025245","kooplieden","http://vocab.getty.edu/aat/300312226","http://vocab.getty.edu/aat/300025245"
"glaswerkers","300025283","glaswerkers","AAT Getty NL","300025281","<personen in ambachten en beroepen naar materiaal>","http://vocab.getty.edu/aat/300025283","http://vocab.getty.edu/aat/300025281"
"tinnegieters","300025322","tinnegieters","AAT Getty NL","300025312","<metaalwerkers naar type metaal>","http://vocab.getty.edu/aat/300025322","http://vocab.getty.edu/aat/300025312"
"ijzerhandelaars","300312187","ijzerhandelaars","AAT Getty NL","300025326","<metaalwerkers naar product>","http://vocab.getty.edu/aat/300312187","http://vocab.getty.edu/aat/300025326"
"afgevaardigden","300250472","afgevaardigden","AAT Getty NL","300025426","<personen in regering en bestuur>","http://vocab.getty.edu/aat/300250472","http://vocab.getty.edu/aat/300025426"
"magistraten","300025467","magistraten","AAT Getty NL","300025457","overheidsfunctionarissen","http://vocab.getty.edu/aat/300025467","http://vocab.getty.edu/aat/300025457"
"dogen","300025463","dogen","AAT Getty NL","300025475","heersers","http://vocab.getty.edu/aat/300025463","http://vocab.getty.edu/aat/300025475"
"redekunstenaars","300025578","redekunstenaars","AAT Getty NL","300025485","<personen in de humaniora>","http://vocab.getty.edu/aat/300025578","http://vocab.getty.edu/aat/300025485"
"semantici","300025581","semantici","AAT Getty NL","300025561","linguisten","http://vocab.getty.edu/aat/300025581","http://vocab.getty.edu/aat/300025561"
"fenomenologen","300025573","fenomenologen","AAT Getty NL","300025569","filosofen","http://vocab.getty.edu/aat/300025573","http://vocab.getty.edu/aat/300025569"
"moefti's","300410441","moefti's","AAT Getty NL","300025622","personen in de rechten","http://vocab.getty.edu/aat/300410441","http://vocab.getty.edu/aat/300025622"
"registratoren","300025644","registratoren (museologie)","AAT Getty NL","300025631","<personen in de museologie>","http://vocab.getty.edu/aat/300025644","http://vocab.getty.edu/aat/300025631"
"handdrukkers","300025731","handdrukkers (personen)","AAT Getty NL","300025701","<personen in de grafische industrie>","http://vocab.getty.edu/aat/300025731","http://vocab.getty.edu/aat/300025701"
"priesters","300025774","priesters","AAT Getty NL","300025747","geestelijken","http://vocab.getty.edu/aat/300025774","http://vocab.getty.edu/aat/300025747"
"taxonomen","300237758","taxonomen","AAT Getty NL","300025785","<wetenschappers en personen in aanverwante beroepen>","http://vocab.getty.edu/aat/300237758","http://vocab.getty.edu/aat/300025785"
"kristallografen","300025796","kristallografen","AAT Getty NL","300025788","wetenschappers","http://vocab.getty.edu/aat/300025796","http://vocab.getty.edu/aat/300025788"
"griots","300260302","griots","AAT Getty NL","300068931","uitvoerend kunstenaars","http://vocab.getty.edu/aat/300260302","http://vocab.getty.edu/aat/300068931"
"zenders","300410362","zenders (personen in communicatie)","AAT Getty NL","300103043","personen in communicatieberoepen","http://vocab.getty.edu/aat/300410362","http://vocab.getty.edu/aat/300103043"
"verpleegkundigen","300156142","verpleegkundigen","AAT Getty NL","300155832","<personen in de gezondheidszorg en geneeskunde>","http://vocab.getty.edu/aat/300156142","http://vocab.getty.edu/aat/300155832"
"steenbakkers","300025282","steenbakkers","AAT Getty NL","300168308","<personen in ambachten en beroepen naar product>","http://vocab.getty.edu/aat/300025282","http://vocab.getty.edu/aat/300168308"
"wandtapijtwevers","300025366","wandtapijtwevers","AAT Getty NL","300168309","<textielwerkers naar product>","http://vocab.getty.edu/aat/300025366","http://vocab.getty.edu/aat/300168309"
"planologen","300025090","planologen","AAT Getty NL","300168334","<personen in de bouwtechniek, bouwhandel en planning>","http://vocab.getty.edu/aat/300025090","http://vocab.getty.edu/aat/300168334"
"paleografen","300025491","paleografen","AAT Getty NL","300168378","<personen in beroepen met betrekking tot geschiedenis>","http://vocab.getty.edu/aat/300025491","http://vocab.getty.edu/aat/300168378"
"sociaal werkers","300122943","sociaal werkers","AAT Getty NL","300168393","<personen in beroepen met betrekking tot sociale wetenschappen>","http://vocab.getty.edu/aat/300122943","http://vocab.getty.edu/aat/300168393"
"geestelijken","300411986","geestelijken","AAT Getty NL","300168457","personen in de religie","http://vocab.getty.edu/aat/300411986","http://vocab.getty.edu/aat/300168457"
"lexicografen","300025554","lexicografen","AAT Getty NL","300171575","<personen in beroepen met betrekking tot literatuur>","http://vocab.getty.edu/aat/300025554","http://vocab.getty.edu/aat/300171575"
"gerontologen","300122946","gerontologen","AAT Getty NL","300171580","sociale wetenschappers","http://vocab.getty.edu/aat/300122946","http://vocab.getty.edu/aat/300171580"
"portiers","300263266","portiers","AAT Getty NL","300174088","<personen in dienstverlenende beroepen>","http://vocab.getty.edu/aat/300263266","http://vocab.getty.edu/aat/300174088"
"huurlingen","300234964","huurlingen","AAT Getty NL","300185678","soldaten","http://vocab.getty.edu/aat/300234964","http://vocab.getty.edu/aat/300185678"
"violisten","300235044","violisten","AAT Getty NL","300234983","instrumentalisten: snaarinstrumenten","http://vocab.getty.edu/aat/300235044","http://vocab.getty.edu/aat/300234983"
"veldmaarschalken","300236754","veldmaarschalken","AAT Getty NL","300236210","officieren","http://vocab.getty.edu/aat/300236754","http://vocab.getty.edu/aat/300236210"
"koninginnen","300025483","koninginnen (personen)","AAT Getty NL","300237007","monarchen","http://vocab.getty.edu/aat/300025483","http://vocab.getty.edu/aat/300237007"
"expiditeurs","300025875","expiditeurs","AAT Getty NL","300239090","<personen in vervoersberoepen>","http://vocab.getty.edu/aat/300025875","http://vocab.getty.edu/aat/300239090"
"diakenen","300025760","diakenen","AAT Getty NL","300239152","christelijke geestelijken","http://vocab.getty.edu/aat/300025760","http://vocab.getty.edu/aat/300239152"
"muurschilders","300025153","muurschilders","AAT Getty NL","300260891","<schilders naar locatie of context>","http://vocab.getty.edu/aat/300025153","http://vocab.getty.edu/aat/300260891"
"technologen","300237760","technologen","AAT Getty NL","300025785","<wetenschappers en personen in aanverwante beroepen>","http://vocab.getty.edu/aat/300237760","http://vocab.getty.edu/aat/300025785"
"cybernetici","300025524","cybernetici","AAT Getty NL","300025788","wetenschappers","http://vocab.getty.edu/aat/300025524","http://vocab.getty.edu/aat/300025788"
"academieleden","300266109","academieleden","AAT Getty NL","300025485","<personen in de humaniora>","http://vocab.getty.edu/aat/300266109","http://vocab.getty.edu/aat/300025485"
"essayisten","300025499","essayisten","AAT Getty NL","300025492","auteurs","http://vocab.getty.edu/aat/300025499","http://vocab.getty.edu/aat/300025492"
"oelama’s","300410440","oelama’s","AAT Getty NL","300025622","personen in de rechten","http://vocab.getty.edu/aat/300410440","http://vocab.getty.edu/aat/300025622"
"filmploegen","300265216","filmploegen","AAT Getty NL","300025645","<personen in de uitvoerende kunsten>","http://vocab.getty.edu/aat/300265216","http://vocab.getty.edu/aat/300025645"
"drukkers","300025732","drukkers","AAT Getty NL","300025701","<personen in de grafische industrie>","http://vocab.getty.edu/aat/300025732","http://vocab.getty.edu/aat/300025701"
"verglazers","300239463","verglazers","AAT Getty NL","300025281","<personen in ambachten en beroepen naar materiaal>","http://vocab.getty.edu/aat/300239463","http://vocab.getty.edu/aat/300025281"
"lassers","300025311","lassers","AAT Getty NL","300025300","<metaalwerkers naar proces of techniek>","http://vocab.getty.edu/aat/300025311","http://vocab.getty.edu/aat/300025300"
"platinum workers","300378953","platinum workers","AAT Getty NL","300025312","<metaalwerkers naar type metaal>","http://vocab.getty.edu/aat/300378953","http://vocab.getty.edu/aat/300025312"
"diplomaten","300025462","diplomaten","AAT Getty NL","300025426","<personen in regering en bestuur>","http://vocab.getty.edu/aat/300025462","http://vocab.getty.edu/aat/300025426"
"burgemeesters","300025468","burgemeesters","AAT Getty NL","300025457","overheidsfunctionarissen","http://vocab.getty.edu/aat/300025468","http://vocab.getty.edu/aat/300025457"
"zakenmensen","300239179","zakenmensen","AAT Getty NL","300025207","<personen in de handel en zakenwereld>","http://vocab.getty.edu/aat/300239179","http://vocab.getty.edu/aat/300025207"
"groothandelaars","300025248","groothandelaars","AAT Getty NL","300025245","kooplieden","http://vocab.getty.edu/aat/300025248","http://vocab.getty.edu/aat/300025245"
"slijpers","300025268","slijpers (vakmensen)","AAT Getty NL","300025254","<personen in ambachten en beroepen naar activiteit>","http://vocab.getty.edu/aat/300025268","http://vocab.getty.edu/aat/300025254"
"landschapsarchitecten","300024993","landschapsarchitecten","AAT Getty NL","300024987","architecten","http://vocab.getty.edu/aat/300024993","http://vocab.getty.edu/aat/300024987"
"betonwerkers","300025009","betonwerkers","AAT Getty NL","300025001","bouwvakkers","http://vocab.getty.edu/aat/300025009","http://vocab.getty.edu/aat/300025001"
"optometristen","300237219","optometristen","AAT Getty NL","300155832","<personen in de gezondheidszorg en geneeskunde>","http://vocab.getty.edu/aat/300237219","http://vocab.getty.edu/aat/300155832"
"literair historici","300025545","literair historici","AAT Getty NL","300171575","<personen in beroepen met betrekking tot literatuur>","http://vocab.getty.edu/aat/300025545","http://vocab.getty.edu/aat/300171575"
"opmeters","300025099","opmeters","AAT Getty NL","300168334","<personen in de bouwtechniek, bouwhandel en planning>","http://vocab.getty.edu/aat/300025099","http://vocab.getty.edu/aat/300168334"
"papyrologen","300264393","papyrologen","AAT Getty NL","300168378","<personen in beroepen met betrekking tot geschiedenis>","http://vocab.getty.edu/aat/300264393","http://vocab.getty.edu/aat/300168378"
