"literal","code","standard","contributor","broader_uri","broader_term","uri"
"lacquerers","300025270","lacquerers","AAT Getty","http://vocab.getty.edu/aat/300025281","<people in crafts and trades by material>","http://vocab.getty.edu/aat/300025270"
"tinsmiths","300025324","tinsmiths","AAT Getty","http://vocab.getty.edu/aat/300025312","<metalworkers by type of metal>","http://vocab.getty.edu/aat/300025324"
"punchcutters","300418020","punchcutters","AAT Getty","http://vocab.getty.edu/aat/300025326","<metalworkers by product>","http://vocab.getty.edu/aat/300418020"
"gymnasiarchs","300265176","gymnasiarchs","AAT Getty","http://vocab.getty.edu/aat/300025426","<people in government and administration>","http://vocab.getty.edu/aat/300265176"
"secretaries (public officers)","300250373","secretaries (public officers)","AAT Getty","http://vocab.getty.edu/aat/300025457","public officers","http://vocab.getty.edu/aat/300250373"
"ministers (public officers)","300250373","ministers (public officers)","AAT Getty","http://vocab.getty.edu/aat/300025457","public officers","http://vocab.getty.edu/aat/300250373"
"sand painters","300265516","sand painters","AAT Getty","http://vocab.getty.edu/aat/300025143","<painters by technique, implement, or material employed>","http://vocab.getty.edu/aat/300265516"
"wood engraver","300025167","wood engravers","AAT Getty","http://vocab.getty.edu/aat/300025164","printmakers","http://vocab.getty.edu/aat/300025167"
"wood engravers","300025167","wood engravers","AAT Getty","http://vocab.getty.edu/aat/300025164","print-makers","http://vocab.getty.edu/aat/300025167"
"interior designers","300025205","interior designers","AAT Getty","http://vocab.getty.edu/aat/300025190","designers","http://vocab.getty.edu/aat/300025205"
"clerks of the market","300435141","clerks of the market","AAT Getty","http://vocab.getty.edu/aat/300025207","<people in commerce and business>","http://vocab.getty.edu/aat/300435141"
"project architects","300137165","project architects","AAT Getty","http://vocab.getty.edu/aat/300024987","architects","http://vocab.getty.edu/aat/300137165"
"derrickmen","300025032","derrickmen","AAT Getty","http://vocab.getty.edu/aat/300025001","construction workers","http://vocab.getty.edu/aat/300025032"
"mechanical engineers","300025085","mechanical engineers","AAT Getty","http://vocab.getty.edu/aat/300025063","engineers","http://vocab.getty.edu/aat/300025085"
"mimes (performers)","300343595","mimes (performers)","AAT Getty","http://vocab.getty.edu/aat/300068931","performing artists","http://vocab.getty.edu/aat/300343595"
"physicians","300025809","physicians","AAT Getty","http://vocab.getty.edu/aat/300155832","<people in health and medicine>","http://vocab.getty.edu/aat/300025809"
"samurai","300403984","samurai","AAT Getty","http://vocab.getty.edu/aat/300185678","soldiers","http://vocab.getty.edu/aat/300403984"
"sociologists","300025600","sociologists","AAT Getty","http://vocab.getty.edu/aat/300171580","social scientists","http://vocab.getty.edu/aat/300025600"
"guides (people)","300236786","guides (people)","AAT Getty","http://vocab.getty.edu/aat/300174088","<people in service occupations>","http://vocab.getty.edu/aat/300236786"
"laity","300025779","laity","AAT Getty","http://vocab.getty.edu/aat/300168457","people in religion","http://vocab.getty.edu/aat/300025779"
"carpet makers","300386344","carpet makers","AAT Getty","http://vocab.getty.edu/aat/300168308","<people in crafts and trades by product>","http://vocab.getty.edu/aat/300386344"
"prelates","300237368","prelates","AAT Getty","http://vocab.getty.edu/aat/300239152","Christian clergy","http://vocab.getty.edu/aat/300237368"
"street artists","300312065","street artists","AAT Getty","http://vocab.getty.edu/aat/300260891","<painters by location or context>","http://vocab.getty.edu/aat/300312065"
"body artists (adornment artists)","300386736","body artists (adornment artists)","AAT Getty","http://vocab.getty.edu/aat/300386777","<artists by medium or work type>","http://vocab.getty.edu/aat/300386736"
"official artists","300386305","official artists","AAT Getty","http://vocab.getty.edu/aat/300386778","<artists by status or location>","http://vocab.getty.edu/aat/300386305"
"concept artists","300435205","concept artists","AAT Getty","http://vocab.getty.edu/aat/300386706","<artists by subject or style of work>","http://vocab.getty.edu/aat/300435205"
"nymphs","300379159","nymphs","AAT Getty","http://vocab.getty.edu/aat/300379007","spirits (beings)","http://vocab.getty.edu/aat/300379159"
"teteo","300404939","teteo","AAT Getty","http://vocab.getty.edu/aat/300343850","deities","http://vocab.getty.edu/aat/300404939"
"geneticists","300386262","geneticists","AAT Getty","http://vocab.getty.edu/aat/300025788","scientists","http://vocab.getty.edu/aat/300386262"
"landgraves (rulers)","300389765","landgraves (rulers)","AAT Getty","http://vocab.getty.edu/aat/300025475","rulers (people)","http://vocab.getty.edu/aat/300389765"
"memoirists","300400831","memoirists","AAT Getty","http://vocab.getty.edu/aat/300025492","authors","http://vocab.getty.edu/aat/300400831"
"lyricists","300025675","lyricists","AAT Getty","http://vocab.getty.edu/aat/300025645","<people in the performing arts>","http://vocab.getty.edu/aat/300025675"
"war photographers","300417561","war photographers","AAT Getty","http://vocab.getty.edu/aat/300025687","photographers","http://vocab.getty.edu/aat/300417561"
"millers (people)","300025273","millers (people)","AAT Getty","http://vocab.getty.edu/aat/300025254","<people in crafts and trades by activity>","http://vocab.getty.edu/aat/300025273"
"lapidaries (people)","300025410","lapidaries (people)","AAT Getty","http://vocab.getty.edu/aat/300025281","<people in crafts and trades by material>","http://vocab.getty.edu/aat/300025410"
"tinkers","300025343","tinkers","AAT Getty","http://vocab.getty.edu/aat/300025326","<metalworkers by product>","http://vocab.getty.edu/aat/300025343"
"ladies-in-waiting","300379077","ladies-in-waiting","AAT Getty","http://vocab.getty.edu/aat/300025426","<people in government and administration>","http://vocab.getty.edu/aat/300379077"
"sheriffs","300136495","sheriffs","AAT Getty","http://vocab.getty.edu/aat/300025457","public officers","http://vocab.getty.edu/aat/300136495"
"military engineers","300025086","military engineers","AAT Getty","http://vocab.getty.edu/aat/300025063","engineers","http://vocab.getty.edu/aat/300025086"
"stencilers","300025155","stencilers","AAT Getty","http://vocab.getty.edu/aat/300025143","<painters by technique, implement, or material employed>","http://vocab.getty.edu/aat/300025155"
